State,PC No,PC Name,No Of AC Segments,PS,Total Electors,Avg. No. of Electors Per PS,Nominations,Contestants,FD,Total Voters,VTR (%)
Tamil Nadu,28,MAYILADUTHURAI,6,1743,1546075,887,23,17,15,1088164,70.38
Tamil Nadu,29,NAGAPATTINAM,6,1551,1345708,868,13,9,7,973773,72.36
Tamil Nadu,30,THANJAVUR,6,1710,1502056,878,31,12,9,1031294,68.66
Tamil Nadu,31,SIVAGANGA,6,1873,1635655,873,28,20,17,1057025,64.62
Tamil Nadu,32,MADURAI,6,1573,1583250,1007,33,21,18,988216,62.42
Tamil Nadu,33,THENI,6,1788,1630328,912,37,25,23,1143159,70.12
Tamil Nadu,34,VIRUDHUNAGAR,6,1689,1505927,892,34,27,25,1064918,70.72
Tamil Nadu,35,RAMANATHAPURAM,6,1934,1619761,838,41,25,23,1111264,68.61
Tamil Nadu,36,THOOTHUKKUDI,6,1624,1461182,900,43,28,27,981034,67.14
Tamil Nadu,37,TENKASI,6,1743,1529130,877,29,15,12,1040936,68.07
Tamil Nadu,38,TIRUNELVELI,6,1810,1656265,915,38,23,21,1069236,64.56
Tamil Nadu,39,KANNIYAKUMARI,6,1698,1566048,922,27,22,20,1035739,66.14
Tamil Nadu,State-Total,State-Total,234,68321,62404947,913,1407,950,862,43769106,70.14
Tripura,1,Tripura West,30,1686,1469453,872,9,9,7,1212774,82.53
Tripura,2,Tripura East,30,1664,1401443,842,9,9,7,1136053,81.06
Tripura,State-Total,State-Total,60,3350,2870896,857,18,18,14,2348827,81.82
Uttar Pradesh,1,Saharanpur,5,1926,1857816,965,13,10,8,1230347,66.23
Uttar Pradesh,2,Kairana,5,1750,1727579,987,17,14,12,1080035,62.52
Uttar Pradesh,3,Muzaffarnagar,5,1698,1823717,1074,38,11,9,1078915,59.16
Uttar Pradesh,4,Bijnor,5,1837,1743213,949,23,11,8,1024843,58.79
Uttar Pradesh,5,Nagina,5,1788,1647310,921,12,6,4,1001499,60.8
Uttar Pradesh,6,Moradabad,5,2133,2062642,967,18,12,10,1283812,62.24
Uttar Pradesh,7,Rampur,5,1789,1733243,969,18,6,4,968791,55.89
Uttar Pradesh,8,Sambhal,5,1995,1899292,952,21,12,10,1195706,62.96
Uttar Pradesh,9,Amroha,5,1856,1720677,927,21,12,10,1111135,64.58
Uttar Pradesh,10,Meerut,5,2042,2005669,982,22,8,6,1183456,59.01
Uttar Pradesh,11,Baghpat,5,1737,1665208,959,16,7,5,934744,56.13
Uttar Pradesh,12,Ghaziabad,5,3092,2948720,954,35,14,12,1470740,49.88
Uttar Pradesh,13,Gautam Buddha Nagar,5,2717,2681482,987,34,15,12,1440060,53.7
Uttar Pradesh,14,Bulandshahr,5,2011,1867981,929,10,6,4,1056357,56.55
Uttar Pradesh,15,Aligarh,5,2121,2002868,944,21,14,12,1139422,56.89
Uttar Pradesh,16,Hathras,5,2190,1946138,889,18,10,7,1083446,55.67
Uttar Pradesh,17,Mathura,5,2128,1939130,911,16,15,12,957463,49.38
Uttar Pradesh,18,Agra,5,2125,2075821,977,11,11,9,1125376,54.21
Uttar Pradesh,19,Fatehpur Sikri,5,1935,1807314,934,19,9,7,1034638,57.25
Uttar Pradesh,20,Firozabad,5,2053,1896052,924,23,7,5,1108735,58.48
Uttar Pradesh,21,Mainpuri,5,2098,1798051,857,12,8,6,1056192,58.74
Uttar Pradesh,22,Etah,5,1917,1703935,889,14,10,8,1011620,59.37
Uttar Pradesh,23,Badaun,5,2117,2010304,950,16,11,9,1093550,54.4
Uttar Pradesh,24,Aonla,5,2026,1893622,935,20,9,7,1090062,57.56
Uttar Pradesh,25,Bareilly,5,1959,1926167,983,28,13,11,1120305,58.16
Uttar Pradesh,26,Pilibhit,5,1924,1833961,953,16,10,8,1161235,63.32
Uttar Pradesh,27,Shahjahanpur,6,2481,2333143,940,21,10,8,1248747,53.52
Uttar Pradesh,28,Kheri,5,1848,1871224,1013,12,11,9,1213543,64.85
Uttar Pradesh,29,Dhaurahra,5,1875,1719979,917,16,12,9,1112068,64.66
Uttar Pradesh,30,Sitapur,5,2018,1760367,872,17,8,6,1102725,62.64
Uttar Pradesh,31,Hardoi,5,2085,1911779,917,13,12,10,1102070,57.65
Uttar Pradesh,32,Misrikh,5,2074,1879798,906,11,9,7,1052758,56
Uttar Pradesh,33,Unnao,6,2498,2344843,939,18,8,6,1303551,55.59
Uttar Pradesh,34,Mohanlalganj,5,2262,2189866,968,22,11,9,1379358,62.99
Uttar Pradesh,35,Lucknow,5,1895,2173953,1147,41,10,8,1140222,52.45
Uttar Pradesh,36,Rae Bareli,5,1867,1788731,958,24,8,6,1039951,58.14
Uttar Pradesh,37,Amethi,5,1923,1798715,935,31,13,11,980883,54.53
Uttar Pradesh,38,Sultanpur,5,1991,1855602,932,26,9,7,1034131,55.73
Uttar Pradesh,39,Pratapgarh,5,1902,1836748,966,34,26,24,947386,51.58
Uttar Pradesh,40,Farrukhabad,5,1922,1751985,912,17,8,6,1035044,59.08
Uttar Pradesh,41,Etawah,5,2030,1834489,904,15,7,5,1034154,56.37
Uttar Pradesh,42,Kannauj,5,2307,1993616,864,28,15,13,1218971,61.14
Uttar Pradesh,43,Kanpur,5,1607,1664794,1036,24,11,9,887948,53.34
Uttar Pradesh,44,Akbarpur,5,1958,1875912,958,15,9,7,1087989,58
Uttar Pradesh,45,Jalaun,5,2262,2010583,889,11,6,4,1129208,56.16
Uttar Pradesh,46,Jhansi,5,2257,2162404,958,21,10,8,1381376,63.88
Uttar Pradesh,47,Hamirpur,5,1975,1841604,932,13,11,9,1116908,60.65
Uttar Pradesh,48,Banda,5,1894,1749034,923,24,12,9,1044901,59.74
